Kommun;Män;Kvinnor;;;;;;;
 Tibro;635;961;;;;;;;
 Töreboda;539;819;;;;;;;
 Göteborg;87458;98184;;;;;;;
 Mölndal;9147;10375;;;;;;;
 Kungälv;4237;5606;;;;;;;
 Lysekil;1099;1607;;;;;;;
 Uddevalla;4802;6872;;;;;;;
 Strömstad;987;1252;;;;;;;
 Vänersborg;3325;4760;;;;;;;
 Trollhättan;5872;7131;;;;;;;
 Alingsås;3972;5310;;;;;;;
 Borås;10437;13380;;;;;;;
 Ulricehamn;1608;2411;;;;;;;
 Åmål;852;1206;;;;;;;
 Mariestad;1767;2600;;;;;;;
 Lidköping;3480;4764;;;;;;;
 Skara;1471;2096;;;;;;;
 Skövde;6076;7239;;;;;;;
 Hjo;661;997;;;;;;;
 Tidaholm;702;1107;;;;;;;
 Falköping;2206;3326;;;;;;;
 Kil;891;1376;;;;;;;
 Eda;413;609;;;;;;;
 Torsby;649;1075;;;;;;;
 Storfors;224;308;;;;;;;
 Hammarö;1869;2430;;;;;;;
 Munkfors;140;260;;;;;;;
 Forshaga;830;1204;;;;;;;
 Grums;446;730;;;;;;;
 Årjäng;447;729;;;;;;;
 Sunne;843;1450;;;;;;;
 Karlstad;11809;14973;;;;;;;
 Kristinehamn;1812;2652;;;;;;;
 Filipstad;499;729;;;;;;;
 Hagfors;630;972;;;;;;;
 Arvika;1947;2807;;;;;;;
 Säffle;966;1385;;;;;;;
 Lekeberg;498;807;;;;;;;
 Laxå;304;427;;;;;;;
 Hallsberg;926;1342;;;;;;;
 Degerfors;495;743;;;;;;;
 Hällefors;392;548;;;;;;;
 Ljusnarsberg;249;359;;;;;;;
 Örebro;17252;22749;;;;;;;
 Kumla;1472;2148;;;;;;;
 Askersund;662;998;;;;;;;
 Karlskoga;2294;2894;;;;;;;
 Nora;794;1220;;;;;;;
 Lindesberg;1495;2323;;;;;;;
 Skinnskatteberg;271;382;;;;;;;
 Surahammar;563;760;;;;;;;
 Kungsör;534;790;;;;;;;
 Hallstahammar;955;1396;;;;;;;
 Norberg;311;483;;;;;;;
 Västerås;17588;20791;;;;;;;
 Sala;1496;2348;;;;;;;
 Fagersta;794;1081;;;;;;;
 Köping;1672;2338;;;;;;;
 Arboga;1048;1409;;;;;;;
 Vansbro;274;542;;;;;;;
 Malung-Sälen;541;871;;;;;;;
 Gagnef;768;1051;;;;;;;
 Leksand;1354;1926;;;;;;;
